i,name,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,drag
0,1a7b9697be903334b99755e16c4a9d21,5.096867084503174,-3.115581750869751,1.5804567337036133,-1.0695734024047852,-0.7415235042572021,-0.4773087501525879,2.5448179244995117,1.0241953134536743,-8.864094734191895,-0.347273051738739,7.547690391540527,1.4559446573257446,-1.5977113246917725,-2.4795656204223633,-3.5100584030151367,-2.617891311645508,2.3133749961853027,-3.084552764892578,-1.7595493793487549,6.31660795211792,1.5008342266082764,-1.2539210319519043,5.438698768615723,0.5117780566215515,-0.5052399635314941,3.470036268234253,0.5334186553955078,-2.23679518699646,-1.988998532295227,0.3746851086616516,-1.053908348083496,-2.82989239692688,-0.20313100516796112,0.843344509601593,-5.3809814453125,-0.11357331275939941,3.9343302249908447,-1.0262718200683594,-0.57277512550354,4.745604038238525,-1.788651466369629,-2.786254405975342,1.1025179624557495,0.5497683882713318,-1.5340533256530762,3.7005460262298584,-3.652186632156372,0.4738348722457886,0.013125214725732803,-1.6760356426239014,1.612278699874878,-3.643187999725342,1.6753320693969727,-4.2172956466674805,3.89567494392395,-6.9546589851379395,-3.782329559326172,6.382687568664551,2.8369534015655518,-6.8612518310546875,-1.7502447366714478,0.10794536769390106,3.233935832977295,2.5705015659332275,0.32
1,1a64bf1e658652ddb11647ffa4306609,-1.2953625917434692,-2.6994998455047607,-2.585545063018799,0.6258864402770996,-0.8107044696807861,0.6084558367729187,0.8953297138214111,-0.43072980642318726,-1.3286882638931274,2.5630922317504883,1.5438077449798584,-1.4922962188720703,-3.1274540424346924,1.6724662780761719,3.41650652885437,2.6641321182250977,1.4569194316864014,-1.6373502016067505,3.368194341659546,0.3301246166229248,0.3208310604095459,-1.359904408454895,3.779244899749756,1.327189564704895,-4.704302787780762,1.577783465385437,0.061864469200372696,-1.2614058256149292,-0.32918331027030945,1.1329636573791504,-1.986924409866333,0.04665087163448334,-1.3614497184753418,-0.7183891534805298,3.1199679374694824,-4.441226005554199,0.6518126726150513,-3.558995008468628,1.6921532154083252,-1.9619405269622803,0.05433483421802521,3.2480900287628174,3.8044073581695557,2.479926109313965,-0.6144903898239136,2.9871480464935303,-3.838541269302368,-2.8288118839263916,1.0741627216339111,-0.6388037204742432,-0.3682296574115753,3.9521431922912598,-1.3879691362380981,-1.1993484497070312,1.7341886758804321,-1.620434284210205,-1.6366710662841797,-1.271274447441101,3.9616363048553467,-2.3643829822540283,2.594275712966919,-1.7730201482772827,1.5027501583099365,-1.9322803020477295,0.393
2,1ad321f067ffbe7e51a95aaa6caba1d3,0.9312237501144409,1.4926283359527588,-0.7701783776283264,-4.390350341796875,-1.613468050956726,0.4284904897212982,-2.9173824787139893,3.153841495513916,-2.0744338035583496,-1.417135238647461,0.9559635519981384,0.18624524772167206,-7.2049360275268555,4.605675220489502,3.411344528198242,-2.560596227645874,2.343883752822876,-1.2863909006118774,1.3598124980926514,-0.7362785935401917,8.21383285522461,-1.693024754524231,0.8071935772895813,-3.968852996826172,0.9043290615081787,-1.3367929458618164,0.7610485553741455,3.9229564666748047,-1.4670480489730835,-1.0592961311340332,-0.14375291764736176,-2.0788862705230713,-2.1427879333496094,-0.37702906131744385,-0.8800589442253113,-3.4742491245269775,-1.669552206993103,-5.396884918212891,3.856472969055176,-2.2861685752868652,-1.7996444702148438,0.20906317234039307,2.3664634227752686,2.3582236766815186,-0.38586559891700745,8.60728931427002,-1.0855504274368286,-2.3521413803100586,2.8496108055114746,0.004543602466583252,0.7870669960975647,0.15354914963245392,-2.0424747467041016,-4.848850250244141,2.3958404064178467,-4.044528484344482,-2.1190178394317627,1.8539656400680542,1.494220495223999,1.2787288427352905,6.771175384521484,-0.3906839191913605,4.855441570281982,-1.6497691869735718,0.404
3,1aeee7288b89ec1cc805dfe4ca9f2fdb,-6.830572605133057,-9.63372802734375,-4.814345359802246,-3.699341297149658,0.1695978194475174,0.1475965976715088,-0.7394165396690369,0.8148821592330933,-2.8603968620300293,4.058447360992432,0.9085361957550049,2.5304760932922363,-2.654327869415283,2.457826614379883,-0.47248730063438416,0.6077790260314941,-2.036092519760132,-2.1182446479797363,-0.5309417247772217,3.4537954330444336,2.5894217491149902,0.13371649384498596,1.0632431507110596,7.180929660797119,2.0636682510375977,0.45694833993911743,3.407254934310913,-3.016842842102051,-3.5600836277008057,-3.0114452838897705,0.32885122299194336,1.4385145902633667,-4.522536277770996,-1.1881186962127686,-4.928323745727539,-0.8503506183624268,2.4403281211853027,-1.5228466987609863,-0.6256875395774841,-0.3265679180622101,-0.05605822801589966,0.8752831220626831,-1.2311975955963135,2.3920812606811523,-0.48655447363853455,-2.17100191116333,0.559761643409729,-4.341135501861572,1.795910120010376,0.5308856964111328,-5.836841106414795,-1.371955156326294,4.3548760414123535,-2.78169322013855,4.444032192230225,-1.9681146144866943,0.8029926419258118,-1.1679105758666992,-0.6316195130348206,-7.695857524871826,3.1970832347869873,-1.5169544219970703,-2.9703407287597656,6.470981597900391,0.337
4,1b1a7af332f8f154487edd538b3d83f6,-7.151410102844238,3.282423257827759,-4.536972999572754,-5.894251823425293,0.4971669316291809,-0.997428297996521,-0.002544291317462921,-2.9146671295166016,-2.009807825088501,2.180919885635376,6.78628396987915,-0.9751211404800415,-7.754793167114258,0.9612775444984436,-0.12246178090572357,1.945733666419983,-1.9614170789718628,-3.8943750858306885,1.2576457262039185,-0.5815848708152771,5.054323196411133,4.107177734375,0.7900413274765015,-2.7840285301208496,2.33524751663208,2.1894590854644775,0.14441107213497162,3.0090651512145996,-6.176173210144043,-6.033710479736328,3.2284109592437744,1.8903595209121704,1.083162784576416,-7.7814040184021,0.5048351287841797,-2.591987371444702,1.5584208965301514,-6.292975902557373,-1.5695581436157227,1.9219602346420288,-0.41116493940353394,-10.520411491394043,5.418979644775391,0.4085828959941864,4.4183669090271,5.666749954223633,0.40343737602233887,-3.2845277786254883,-1.1586971282958984,2.515235424041748,-1.5312711000442505,-2.664093017578125,-1.7805979251861572,-1.2677956819534302,2.029123544692993,-2.315394163131714,-1.570438027381897,1.4590550661087036,-3.6515958309173584,-6.999532222747803,1.5093631744384766,-0.1755191832780838,4.061276912689209,-4.479862689971924,0.377
5,1b2ef0809ca1abc7ca92a4cdad802b45,-1.2707301378250122,0.7177006602287292,-0.0012960955500602722,2.277569532394409,-1.8986120223999023,1.6856048107147217,4.114780426025391,-1.4223973751068115,-0.5993133783340454,5.355158805847168,-4.087039947509766,2.6935596466064453,-4.220911502838135,-2.1166622638702393,-3.5274946689605713,-0.8118495345115662,1.6541904211044312,-1.7452266216278076,5.951412677764893,2.105722427368164,-4.964269638061523,-2.5855891704559326,4.181004524230957,3.4807112216949463,1.0251041650772095,-0.7728952169418335,0.048922326415777206,-2.5803279876708984,0.4395137131214142,2.207632064819336,-3.2551429271698,-5.295058250427246,-7.993050575256348,-1.2665990591049194,-3.690459966659546,-0.3578183650970459,-2.3200409412384033,0.49388325214385986,0.5542880296707153,-3.7265703678131104,1.4094421863555908,0.3979851007461548,2.633507013320923,-1.8890939950942993,-1.1050366163253784,0.7310513257980347,-1.3942151069641113,1.6546000242233276,4.66095495223999,2.4477450847625732,-6.066672325134277,1.3823025226593018,-2.7888078689575195,-2.0596208572387695,3.8142876625061035,-0.7179383635520935,-3.011753797531128,-0.025650158524513245,6.566410541534424,-2.9248085021972656,-1.8613178730010986,-2.4642162322998047,-1.8955512046813965,1.5218100547790527,0.372
6,1b43ec15ddae61b62c6ff27a52f05cff,3.8215231895446777,-4.568860054016113,-5.195685863494873,-7.54018497467041,5.640829563140869,-0.7396373748779297,4.5629801750183105,0.4711894094944,-0.8399803042411804,0.3846477270126343,3.591197967529297,4.00546407699585,-8.466463088989258,-3.0389773845672607,-6.808816432952881,5.3178277015686035,-0.5945899486541748,-0.423733651638031,4.305371284484863,0.6882296800613403,-4.652533531188965,0.14422707259655,1.9452831745147705,-0.8767821788787842,-1.740897536277771,8.273306846618652,1.223214030265808,-4.327899932861328,-1.931145191192627,0.4209817945957184,-0.9918533563613892,-5.329243183135986,7.785862922668457,3.4788548946380615,-7.734537601470947,1.3453714847564697,3.0883944034576416,-0.6705965399742126,-2.422898292541504,-0.1490744799375534,-0.004554718732833862,7.346103668212891,-3.7328734397888184,7.418553829193115,2.562603235244751,-3.9476449489593506,-4.373521327972412,-1.5310825109481812,5.387122631072998,-1.991657018661499,2.991004705429077,1.243613600730896,1.7264750003814697,-4.804851055145264,6.234551906585693,-6.536513805389404,-1.9637877941131592,0.00487750768661499,4.277442932128906,-5.020267009735107,-1.50484037399292,-5.802082061767578,8.601740837097168,-4.342689514160156,0.431
7,1b83d1d3554d04906a34aa94ca8a3355,-2.069552421569824,-3.2050726413726807,-3.017810106277466,-1.9536992311477661,-0.8202375173568726,0.3805697560310364,1.7594345808029175,0.7441765069961548,-1.3446673154830933,2.5735573768615723,-0.636376142501831,-1.5380936861038208,-2.7001123428344727,-0.9315336346626282,-0.259056031703949,4.19246244430542,-0.6127334833145142,-2.184731960296631,2.130248546600342,2.1404476165771484,0.10425874590873718,-0.5576205253601074,3.092982053756714,1.9531627893447876,-3.4275739192962646,-0.23862536251544952,-0.32587680220603943,-1.0175610780715942,-0.8601256608963013,-0.6736813187599182,-1.114072322845459,-2.470654010772705,-3.3756332397460938,-0.28247570991516113,-2.415971279144287,-0.2027059644460678,1.922297477722168,-0.6195327043533325,-0.6659993529319763,-0.9848373532295227,2.1095919609069824,0.4071289896965027,2.8246512413024902,2.6391704082489014,0.9980153441429138,1.9608687162399292,-1.0419690608978271,0.4565589427947998,-0.9497957229614258,-2.4121391773223877,-2.7545361518859863,1.428551435470581,-1.2620069980621338,-1.9662139415740967,2.51147198677063,1.6507411003112793,-2.430433750152588,-0.1146123856306076,2.5786798000335693,-1.0886354446411133,2.9026377201080322,-3.411992073059082,1.7197463512420654,1.1856722831726074,0.307
8,1c4f6c884a2132903c35e65001c8c258,-0.7893219590187073,-0.12156950682401657,-0.11444169282913208,1.5686936378479004,-1.5033743381500244,6.6425299644470215,0.26300179958343506,-4.110067844390869,-3.2074499130249023,-0.13289879262447357,-1.0622096061706543,-2.1745026111602783,-0.5512852072715759,-2.942262649536133,-5.143587112426758,-2.5865566730499268,2.664442300796509,-0.7856100797653198,1.2030142545700073,4.303233623504639,-3.397704601287842,-0.9102169275283813,2.3066887855529785,-1.4417885541915894,-3.3152713775634766,2.237802505493164,1.0289177894592285,0.5731106400489807,0.7668424844741821,-1.9465267658233643,-0.16483153402805328,-4.936370372772217,0.23085442185401917,-3.924020767211914,-0.9229652285575867,0.3438485860824585,-0.3090790808200836,0.5450941920280457,5.694170951843262,-1.925862431526184,2.665177822113037,-1.2446706295013428,4.296390056610107,1.5450364351272583,0.8327653408050537,-0.2112082839012146,-3.7165181636810303,-1.0232698917388916,2.721132278442383,-0.23022854328155518,-4.601736545562744,-2.5145621299743652,-4.437439441680908,-1.3272664546966553,0.010144129395484924,1.0498594045639038,-2.8145816326141357,6.212030410766602,5.1221699714660645,-1.5458943843841553,3.877126693725586,1.56318998336792,2.1589813232421875,3.299722194671631,0.317
9,1c6627e55a840dac5b50bb0532f2ede,-0.33487993478775024,-0.3587541878223419,-5.121313571929932,-1.8692747354507446,0.05352466180920601,2.9989304542541504,-0.4824181795120239,1.283854365348816,-1.3553091287612915,-0.9885470271110535,1.6363515853881836,-2.7002601623535156,-3.5570333003997803,2.694744825363159,4.545751571655273,2.8459291458129883,4.6990180015563965,-1.864180564880371,1.3844784498214722,2.2830967903137207,-0.9570193886756897,-1.6194851398468018,2.1170079708099365,3.62892484664917,-0.7015978097915649,1.3548204898834229,-1.1219083070755005,0.8211167454719543,0.10477818548679352,-3.3207168579101562,-1.1484512090682983,-3.8193044662475586,-2.43422794342041,1.2536132335662842,1.258271336555481,1.8966890573501587,3.020336389541626,1.173046588897705,3.556140661239624,-5.234927177429199,-1.0788228511810303,1.865221381187439,-0.6546642780303955,-0.4653680920600891,0.3606528639793396,-0.8889800310134888,1.8173078298568726,0.4358513653278351,4.172518253326416,-4.537956237792969,-0.1107245609164238,1.0896035432815552,-0.5968092083930969,-3.630197286605835,4.671710014343262,-1.422820806503296,0.8337651491165161,5.060172080993652,3.7857730388641357,1.1057790517807007,2.1582767963409424,-2.0200278759002686,-0.7469784021377563,1.548296332359314,0.431
